letterboxd_link,tmdb,title,original_title,poster,trailer,synopsis,year,ignore_me,rating
widows-2018,401469,Widows,Widows,/d31SGJSaX29ba5ZUbZcesGoDE7I.jpg,,"A police shootout leaves four thieves dead during an explosive armed robbery attempt in Chicago. Their widows have nothing in common except a debt left behind by their spouses' criminal activities. Hoping to forge a future on their own terms, they join forces to pull off a heist.",2018,0,-1.0
teen-spirit-2018,440918,Teen Spirit,Teen Spirit,/aFPqJZ9vOcH7QroNxXV5wefX2qe.jpg,,"A shy teenager living on the Isle of Wight dreams of pop stardom. With the help of an unlikely mentor, she enters a singing competition that will test her integrity, talent, and ambition.",2019,0,-1.0
beautiful-boy-2018,451915,Beautiful Boy,Beautiful Boy,/i7gsLrNxpSf8NF5IZIrcOEfMyA3.jpg,,"After he and his first wife separate, journalist David Sheff struggles to help their teenage son, who goes from experimenting with drugs to becoming devastatingly addicted to methamphetamine.",2018,0,-1.0
first-man,369972,First Man,First Man,/i91mfvFcPPlaegcbOyjGgiWfZzh.jpg,,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",2018,0,-1.0
crazy-rich-asians,455207,Crazy Rich Asians,Crazy Rich Asians,/1XxL4LJ5WHdrcYcihEZUCgNCpAW.jpg,,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous.",2018,0,-1.0
mission-impossible-fallout,353081,Mission: Impossible - Fallout,Mission: Impossible - Fallout,/AkJQpZp9WoNdj7pLYSj1L0RcMMN.jpg,,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",2018,0,-1.0
mamma-mia-here-we-go-again,458423,Mamma Mia! Here We Go Again,Mamma Mia! Here We Go Again,/vzI4gNJDUwWgmNDSBWxYoeGkIEY.jpg,,"Five years after meeting her three fathers, Sophie Sheridan prepares to open her mother’s hotel. In 1979, young Donna Sheridan meets the men who each could be Sophie’s biological father.",2018,0,-1.0
a-quiet-place-2018,447332,A Quiet Place,A Quiet Place,/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,,A family is forced to live in silence while hiding from creatures that hunt by sound.,2018,0,-1.0
black-panther-2018,284054,Black Panther,Black Panther,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,,"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",2018,0,-1.0
hereditary,493922,Hereditary,Hereditary,/lHV8HHlhwNup2VbpiACtlKzaGIQ.jpg,,"When Ellen, the matriarch of the Graham family, passes away, her daughter’s family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",2018,0,-1.0
eighth-grade,489925,Eighth Grade,Eighth Grade,/xTa9cLhGHfQ7084UvoPQ2bBXKqd.jpg,,Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school — the end of her thus far disastrous eighth grade year — before she begins high school.,2018,0,-1.0
the-commuter,399035,The Commuter,The Commuter,/rDeGK6FIUfVcXmuBdEORPAGPMNg.jpg,,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.",2018,0,-1.0
blade-runner-2049,335984,Blade Runner 2049,Blade Runner 2049,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",2017,0,-1.0
kingsman-the-golden-circle,343668,Kingsman: The Golden Circle,Kingsman: The Golden Circle,/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",2017,0,-1.0
unicorn-store,423949,Unicorn Store,Unicorn Store,/rGe3eWy3F3qggDZMc86bASN4I7C.jpg,,"A woman named Kit moves back to her parent's house, where she receives a mysterious invitation that would fulfill her childhood dreams.",2017,0,-1.0
i-tonya,389015,"I, Tonya","I, Tonya",/6gNXwSHxaksR1PjVZRqNapmkgj3.jpg,,"Competitive ice skater Tonya Harding rises amongst the ranks at the U. S. Figure Skating Championships, but her future in the sport is thrown into doubt when her ex-husband intervenes.",2017,0,-1.0
it-2017,346364,It,It,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",2017,0,-1.0
lady-bird,391713,Lady Bird,Lady Bird,/iySFtKLrWvVzXzlFj7x1zalxi5G.jpg,,"A California high school student plans to escape from her family and small town by going to college in New York, much to the disapproval of wildly loving, deeply opinionated and strong-willed mother.",2017,0,-1.0
logan-lucky,399170,Logan Lucky,Logan Lucky,/p1RDYsRvrm6v5gSKkVm0KOotUcE.jpg,,"Trying to reverse a family curse, brothers Jimmy and Clyde Logan set out to execute an elaborate robbery during the legendary Coca-Cola 600 race at the Charlotte Motor Speedway.",2017,0,-1.0
dunkirk-2017,374720,Dunkirk,Dunkirk,/ebSnODDg9lbsMIaWg2uAbjn7TO5.jpg,,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",2017,0,-1.0
loving-vincent,339877,Loving Vincent,Loving Vincent,/56sq57kDm7XgyXBYrgJLumo0Jac.jpg,,"The film brings the paintings of Vincent van Gogh to life to tell his remarkable story. Every one of the 65,000 frames of the film is an oil-painting hand-painted by 125 professional oil-painters who travelled from all across the world to the Loving Vincent studios in Poland and Greece to be a part of the production. As remarkable as Vincent’s brilliant paintings are his passionate and ill-fated life and mysterious death.",2017,0,-1.0
good-time,429200,Good Time,Good Time,/s6DJXJU3HzX24Ij3VWg5MfVGHrI.jpg,,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",2017,0,-1.0
the-killing-of-a-sacred-deer,399057,The Killing of a Sacred Deer,The Killing of a Sacred Deer,/e4DGlsc9g0h5AyoyvvAuIRnofN7.jpg,,"Dr. Steven Murphy is a renowned cardiovascular surgeon who presides over a spotless household with his wife and two children. Lurking at the margins of his idyllic suburban existence is Martin, a fatherless teen who insinuates himself into the doctor's life in gradually unsettling ways.",2017,0,-1.0
okja,387426,Okja,Okja,/pHlRr2MfjK77VIIAO7p0R4jhsJI.jpg,,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.",2017,0,-1.0
