tmdb,name
84851,Hoyt Yeatman
85822,Anthony C. Ferrante
86270,Joseph Kosinski
86688,Levan Gabriadze
87257,Cary Joji Fukunaga
87742,Marc Webb
87877,Roar Uthaug
88556,Glenn McQuaid
88675,Justin Baldoni
88926,Armando Iannucci
88967,Greg Berlanti
89112,Tony Leondis
90367,Sam Liu
90492,Lynn Shelton
90591,Oren Peli
90609,Oz Perkins
90694,Gillo Pontecorvo
91268,Ruben Fleischer
91493,Chris Addison
92657,Scott Sanders
92733,Adam Elliot
92784,Barry Jenkins
93214,Steven Quale
93237,Björn Runge
93364,Jeff Fowler
93406,Elem Klimov
94011,Bill Melendez
94075,David Soren
95320,Rodrigo Cortés
95501,Yasujirō Ozu
95972,Hans Petter Moland
96172,Sam Levinson
96657,Lee Chang-dong
96676,Tomm Moore
96677,Nora Twomey
96813,Maya Deren
98103,Richard Ayoade
98132,Jim Wynorski
98631,Adam Wingard
99082,Jovanka Vuckovic
100734,Johannes Roberts
100888,Chuck Jones
101542,Ti West
101666,Paul King
105435,Joanna Hogg
105643,Jay Oliva
105648,Nat Faxon
107274,Richard Rich
107446,Phil Lord
107490,Jaco Van Dormael
109314,Don Hertzfeldt
109745,Lee Toland Krieger
109857,Thor Freudenthal
110684,Takashi Nakamura
111588,J Blakeson
111807,Matthew Warchus
113285,Ben Washam
113373,Mike Birbiglia
114334,David Michôd
115128,Bo Burnham
116370,Matthew Diamond
116805,Paul Feig
117794,Chris Morris
118303,Nacho Vigalondo
118415,Sean Baker
118489,Walt Dohrn
118639,Tom Six
119294,Abbas Kiarostami
119624,Anna Biller
119665,Gregory Jacobs
120615,Tom Ford
121830,Nathan Greno
121873,Debra Granik
122423,Yorgos Lanthimos
124137,Věra Chytilová
124279,Brandon Vietti
124747,Pierre Coffin
124748,Chris Renaud
124749,Sergio Pablos
125324,William Eubank
125738,Daniel Espinosa
126452,Kei Fujiwara
126638,Mark Andrews
129561,Josh Safdie
129894,Gareth Edwards
130030,Chantal Akerman
132239,Babak Najafi
132305,Nobuhiko Ōbayashi
132876,Brad Peyton
132964,Drake Doremus
135113,André Øvredal
136153,Peter Atencio
136168,Mati Diop
136345,Sean Byrne
136495,Damien Chazelle
137427,Denis Villeneuve
137467,Ben Wheatley
138781,Robert Eggers
139098,Derek Cianfrance
141673,Jason Eisener
141825,Rusty Cundieff
141962,David Bruckner
142013,Gareth Evans
142272,Henry Joost
142276,Ariel Schulman
142312,Jennifer Yuh Nelson
142587,Greg Tiernan
143035,Edward Yang
143059,Patrick Hughes
143385,Fred C. Newmeyer
143561,Sam Taylor
143593,Xavier Dolan
144476,Hiromasa Yonebayashi
144816,Chris McKay
144977,Larry Roemer
146439,James Ward Byrkit
149495,Marti Noxon
150098,Rupert Goold
151007,Peter Ramsey
154547,Chris Nelson
154705,Chris Butler
155267,Christopher Miller
155531,Joe Cornish
161932,Jim Rash
162371,Scott Aukerman
164554,Jennifer Kent
165787,Rich Moore
166754,Abe Forsythe
168667,Jason Moore
173298,Jeremy Dyson
177532,Marielle Heller
185438,Genndy Tartakovsky
192852,Francis Lee
206623,Kahlil Joseph
208113,Sarah Smith
208664,Kay Cannon
209513,Macon Blair
212240,Tom Harper
217174,Paul Tibbitt
217587,Leslye Headland
222470,Todd Strauss-Schulson
223516,Benh Zeitlin
225009,Pablo Larraín
225976,Dan Scanlon
226089,Scott Moore
226599,Norman Ferguson
227439,Don Hall
227564,Benny Safdie
228134,Rupert Sanders
229482,Kyle Patrick Alvarez
229931,Asghar Farhadi
229962,Mike Thurmeier
235430,Timo Tjahjanto
236539,Jordan Vogt-Roberts
236859,Michaël R. Roskam
239672,Felix van Groeningen
291263,Jordan Peele
293911,Scott Waugh
303056,Craig Johnson
465763,Maggie Carey
472630,Dee Rees
527607,Sean Durkin
543842,David Guy Levy
549310,Justin Kurzel
550481,Jérémy Clapin
551463,Mike Flanagan
555254,Yoshifumi Kondou
556172,J.C. Chandor
557383,Marc Meyers
558929,David Robert Mitchell
567562,Phil Johnston
567933,Chris Peckover
568322,Dan Trachtenberg
583479,Aaron Moorhead
583857,Peter Strickland
585933,François Simard
585934,Anouk Whissell
586002,Andrew Haigh
587970,Matthew A. Cherry
588869,Claude Barras
589402,Adrian Grunberg
591600,Damián Szifron
592493,David Lowery
836732,Jake Schreier
929825,Ava DuVernay
930012,Alma Har'el
930526,Boots Riley
930707,Colin Trevorrow
930710,James Ponsoldt
931211,Alice Rohrwacher
932248,Fede Alvarez
932533,Stefano Sollima
932759,Brett Haley
934181,Paul Fisher
934803,Josh Trank
935705,Michael Dudok de Wit
936670,Bob Persichetti
937147,Autumn de Wilde
937765,Alejandro Landes
938681,James Duffy
938682,Patrik Forsberg
939027,Kevin Phillips
939147,Yeon Sang-ho
939502,Carlo Mirabella-Davis
970777,Matt Spicer
983909,Kelly Fremon Craig
991868,Ari Sandel
1003237,Dorota Kobiela
1016214,Kleber Mendonça Filho
1016229,Juliano Dornelles
1018106,S. Craig Zahler
1019303,Duke Johnson
1032536,Robert Stromberg
1033654,Josephine Decker
1033661,Travis Knight
1037999,Jeremy Gillespie
1038001,Steven Kostanski
1039527,Tyler Gillett
1039528,Justin Martinez
1039529,Chad Villella
1044250,Panos Cosmatos
1044255,Alex Ross Perry
1046494,Kris Pearn
1049745,Alexandre Lehmann
1053420,Josh Boone
1056121,Ryan Coogler
1059571,Justin Simien
1061517,Roxanne Benjamin
1061773,Jake Szymanski
1062805,John Maclean
1066705,Vince Marcello
1074560,Justin Benson
1085179,Andrew J. Cohen
1096867,Thea Sharrock
1099862,Dean Israelite
1101410,Dave Green
1113116,Andy Muschietti
1120694,Jennifer Lee
1120883,Sam Hargrave
1128442,Deniz Gamze Ergüven
1134669,Eliza Hittman
1137903,Sam Taylor-Johnson
1138699,John Krokidas
1141683,Theodore Melfi
1142171,Sebastián Lelio
1144604,Destin Daniel Cretton
1145520,Ari Aster
1145621,Jon Olb
1152981,Graham Annable
1154561,Kevin Kölsch
1155547,Patrick Brice
1169024,Ilya Naishuller
1172229,Yann Gonzalez
1173102,Garth Davis
1179066,Wes Ball
1182269,Josie Rourke
1193602,Gia Coppola
1198724,Riley Stearns
1199903,Hiro Murai
1213074,Steven S. DeKnight
1215399,Taylor Sheridan
1215621,Rob Burnett
1218988,Charlie Bean
1224031,Alfonso Gomez-Rejon
1224454,Nahnatchka Khan
1230252,Peter Howitt
1231927,Colm McCarthy
1236679,Jonathan M. Goldstein
1239407,Drew Pearce
1239766,Nisha Ganatra
1244465,Richard Starzak
1254001,Kyle Newacheck
1262481,Alessandro Carloni
1262867,Babak Anvari
1265056,Jorge R. Gutierrez
1272994,Jonathan van Tulleken
1276373,Michael Gracey
1278722,Trish Sie
1279519,Sara Colangelo
1281387,Clay Kaytis
1284099,Gillian Robespierre
1284692,Lorcan Finnegan
1285174,Desiree Akhavan
1289604,Ana Lily Amirpour
