movie_link,genre_id
john-wick-chapter-2,80
rogue-one-a-star-wars-story,28
rogue-one-a-star-wars-story,12
rogue-one-a-star-wars-story,878
allied,28
allied,18
allied,10752
allied,10749
allied,53
doctor-strange-2016,28
doctor-strange-2016,12
doctor-strange-2016,14
doctor-strange-2016,878
free-fire,28
free-fire,80
free-fire,9648
kubo-and-the-two-strings,16
kubo-and-the-two-strings,12
kubo-and-the-two-strings,10751
suicide-squad-2016,28
suicide-squad-2016,12
suicide-squad-2016,80
suicide-squad-2016,14
suicide-squad-2016,878
ghostbusters-2016,28
ghostbusters-2016,14
ghostbusters-2016,35
colossal-2016,18
colossal-2016,14
colossal-2016,878
hell-or-high-water,80
hell-or-high-water,37
captain-america-civil-war,12
captain-america-civil-war,28
captain-america-civil-war,878
batman-v-superman-dawn-of-justice,28
batman-v-superman-dawn-of-justice,12
batman-v-superman-dawn-of-justice,14
midnight-special,12
midnight-special,18
midnight-special,878
hail-caesar-2016,35
hail-caesar-2016,18
hail-caesar-2016,9648
swiss-army-man,35
swiss-army-man,18
swiss-army-man,10749
swiss-army-man,14
swiss-army-man,12
the-hateful-eight,80
the-hateful-eight,18
the-hateful-eight,9648
the-hateful-eight,37
the-big-short,35
the-big-short,18
ant-man,878
ant-man,28
ant-man,12
terminator-genisys,878
terminator-genisys,28
terminator-genisys,53
terminator-genisys,12
mad-max-fury-road,28
mad-max-fury-road,12
mad-max-fury-road,878
avengers-age-of-ultron,28
avengers-age-of-ultron,12
avengers-age-of-ultron,878
chappie,80
chappie,28
chappie,878
john-wick,28
john-wick,53
inherent-vice,35
inherent-vice,10749
inherent-vice,80
inherent-vice,18
inherent-vice,9648
guardians-of-the-galaxy,28
guardians-of-the-galaxy,878
guardians-of-the-galaxy,12
lucy-2014,28
lucy-2014,878
22-jump-street,80
22-jump-street,35
22-jump-street,28
foxcatcher,18
foxcatcher,53
godzilla-2014,28
godzilla-2014,18
godzilla-2014,878
captain-america-the-winter-soldier,28
captain-america-the-winter-soldier,12
captain-america-the-winter-soldier,878
neighbors-2014,35
the-wolf-of-wall-street,80
the-wolf-of-wall-street,18
the-wolf-of-wall-street,35
her,10749
her,878
her,18
under-the-skin-2013,53
under-the-skin-2013,878
under-the-skin-2013,18
snowpiercer,28
snowpiercer,878
snowpiercer,18
oz-the-great-and-powerful,14
oz-the-great-and-powerful,12
oz-the-great-and-powerful,10751
gangster-squad,80
gangster-squad,18
gangster-squad,28
gangster-squad,53
movie-43,35
django-unchained,18
django-unchained,37
lincoln,36
lincoln,18
wreck-it-ralph,10751
wreck-it-ralph,16
wreck-it-ralph,35
wreck-it-ralph,12
skyfall,28
skyfall,12
skyfall,53
the-master-2012,18
the-dark-knight-rises,28
the-dark-knight-rises,80
the-dark-knight-rises,18
the-dark-knight-rises,53
ted,35
ted,14
the-avengers-2012,878
the-avengers-2012,28
the-avengers-2012,12
21-jump-street,28
21-jump-street,35
21-jump-street,80
the-girl-with-the-dragon-tattoo-2011,53
the-girl-with-the-dragon-tattoo-2011,80
the-girl-with-the-dragon-tattoo-2011,9648
the-girl-with-the-dragon-tattoo-2011,18
sherlock-holmes-a-game-of-shadows,12
sherlock-holmes-a-game-of-shadows,28
sherlock-holmes-a-game-of-shadows,80
sherlock-holmes-a-game-of-shadows,9648
haywire,28
haywire,53
haywire,9648
moneyball,18
thor,12
thor,14
thor,28
the-green-hornet,28
the-green-hornet,80
the-green-hornet,35
true-grit-2010,18
true-grit-2010,12
true-grit-2010,37
due-date,35
due-date,18
easy-a,35
scott-pilgrim-vs-the-world,28
scott-pilgrim-vs-the-world,35
scott-pilgrim-vs-the-world,10749
scott-pilgrim-vs-the-world,10402
scott-pilgrim-vs-the-world,14
toy-story-3,16
toy-story-3,10751
toy-story-3,35
certified-copy,18
certified-copy,10749
sherlock-holmes-2009,28
sherlock-holmes-2009,12
sherlock-holmes-2009,80
sherlock-holmes-2009,9648
avatar,28
avatar,12
avatar,14
avatar,878
where-the-wild-things-are,10751
where-the-wild-things-are,14
where-the-wild-things-are,878
the-invention-of-lying,35
the-invention-of-lying,14
the-invention-of-lying,10749
public-enemies-2009,80
public-enemies-2009,18
public-enemies-2009,36
the-hangover,35
up,16
up,35
up,10751
up,12
adventureland,35
i-love-you-man,35
watchmen,28
watchmen,9648
watchmen,878
in-the-loop,35
the-curious-case-of-benjamin-button,14
the-curious-case-of-benjamin-button,18
the-curious-case-of-benjamin-button,53
the-curious-case-of-benjamin-button,9648
the-curious-case-of-benjamin-button,10749
synecdoche-new-york,18
tropic-thunder,28
tropic-thunder,35
tropic-thunder,12
tropic-thunder,10752
pineapple-express,28
pineapple-express,35
pineapple-express,80
ponyo,16
ponyo,10751
walle,16
walle,10751
walle,878
get-smart,28
get-smart,35
get-smart,53
speed-racer,10751
speed-racer,28
speed-racer,12
speed-racer,35
cloverfield,28
cloverfield,53
cloverfield,878
walk-hard-the-dewey-cox-story,35
walk-hard-the-dewey-cox-story,10402
walk-hard-the-dewey-cox-story,18
the-darjeeling-limited,12
the-darjeeling-limited,18
the-darjeeling-limited,35
the-assassination-of-jesse-james-by-the-coward-robert-ford,28
the-assassination-of-jesse-james-by-the-coward-robert-ford,18
the-assassination-of-jesse-james-by-the-coward-robert-ford,37
superbad,35
hot-rod,28
hot-rod,35
the-simpsons-movie,16
the-simpsons-movie,35
the-simpsons-movie,10751
ratatouille,16
ratatouille,35
ratatouille,10751
ratatouille,14
death-proof,28
death-proof,53
no-country-for-old-men,80
no-country-for-old-men,18
no-country-for-old-men,53
spider-man-3,14
spider-man-3,28
spider-man-3,12
planet-terror,27
planet-terror,28
planet-terror,53
grindhouse,53
grindhouse,28
grindhouse,27
hot-fuzz,80
hot-fuzz,28
hot-fuzz,35
the-prestige,18
the-prestige,9648
the-prestige,53
stranger-than-fiction-2006,35
stranger-than-fiction-2006,18
stranger-than-fiction-2006,14
stranger-than-fiction-2006,10749
talladega-nights-the-ballad-of-ricky-bobby,35
clerks-ii,35
inside-man,80
inside-man,18
inside-man,53
king-kong-2005,12
king-kong-2005,18
king-kong-2005,28
the-40-year-old-virgin,35
the-40-year-old-virgin,10749
star-wars-episode-iii-revenge-of-the-sith,878
star-wars-episode-iii-revenge-of-the-sith,12
star-wars-episode-iii-revenge-of-the-sith,28
the-life-aquatic-with-steve-zissou,12
the-life-aquatic-with-steve-zissou,35
the-life-aquatic-with-steve-zissou,18
sideways,35
sideways,18
sideways,10749
anchorman-the-legend-of-ron-burgundy,35
the-notebook,10749
the-notebook,18
spider-man-2,28
spider-man-2,12
spider-man-2,14
dodgeball-a-true-underdog-story,35
kill-bill-vol-2,28
kill-bill-vol-2,80
kill-bill-vol-2,53
kung-fu-hustle,28
kung-fu-hustle,35
kung-fu-hustle,80
kung-fu-hustle,14
before-sunset,18
before-sunset,10749
the-matrix-revolutions,12
the-matrix-revolutions,28
the-matrix-revolutions,53
the-matrix-revolutions,878
elf,35
elf,10751
elf,14
kill-bill-vol-1,28
kill-bill-vol-1,80
elephant-2003,80
elephant-2003,18
lost-in-translation,18
lost-in-translation,10749
lost-in-translation,35
the-room,18
the-room,10749
the-matrix-reloaded,12
the-matrix-reloaded,28
the-matrix-reloaded,53
the-matrix-reloaded,878
catch-me-if-you-can-2002,18
catch-me-if-you-can-2002,80
adaptation,35
adaptation,80
adaptation,18
equilibrium,28
equilibrium,878
equilibrium,53
die-another-day,12
die-another-day,28
die-another-day,53
jackass-the-movie,35
punch-drunk-love,35
punch-drunk-love,18
punch-drunk-love,10749
oceans-eleven-2001,53
oceans-eleven-2001,80
jay-and-silent-bob-strike-back,35
spirited-away,16
spirited-away,10751
spirited-away,14
mulholland-drive,53
mulholland-drive,18
mulholland-drive,9648
wet-hot-american-summer,35
cast-away,12
cast-away,18
how-the-grinch-stole-christmas-2000,10751
how-the-grinch-stole-christmas-2000,35
how-the-grinch-stole-christmas-2000,14
best-in-show,35
o-brother-where-art-thou,12
o-brother-where-art-thou,35
o-brother-where-art-thou,80
in-the-mood-for-love,18
in-the-mood-for-love,10749
crouching-tiger-hidden-dragon,12
crouching-tiger-hidden-dragon,18
crouching-tiger-hidden-dragon,28
crouching-tiger-hidden-dragon,10749
gladiator-2000,28
gladiator-2000,18
gladiator-2000,12
man-on-the-moon,35
man-on-the-moon,18
man-on-the-moon,36
the-world-is-not-enough,12
the-world-is-not-enough,28
the-world-is-not-enough,53
dogma,14
dogma,35
dogma,12
toy-story-2,16
toy-story-2,35
toy-story-2,10751
american-beauty,18
being-john-malkovich,35
being-john-malkovich,18
being-john-malkovich,14
the-iron-giant,12
the-iron-giant,16
the-iron-giant,10751
the-iron-giant,878
the-iron-giant,35
wild-wild-west,28
wild-wild-west,12
wild-wild-west,35
wild-wild-west,878
wild-wild-west,37
big-daddy,35
